Country;uri;label
Angola;http://www.wikidata.org/entity/Q916;Country
France;http://www.wikidata.org/entity/Q142;Country
Trinidad and Tobago;http://www.wikidata.org/entity/Q754;Country
Montenegro;http://www.wikidata.org/entity/Q236;Country
Libya;http://www.wikidata.org/entity/Q1016;Country
Equatorial Guinea;http://www.wikidata.org/entity/Q983;Country
Tonga;http://www.wikidata.org/entity/Q678;Country
Lithuania;http://www.wikidata.org/entity/Q37;Country
Guatemala;http://www.wikidata.org/entity/Q774;Country
Ecuador;http://www.wikidata.org/entity/Q736;Country
Marshall Islands;http://www.wikidata.org/entity/Q709;Country
Guyana;http://www.wikidata.org/entity/Q734;Country
Bhutan;http://www.wikidata.org/entity/Q917;Country
Namibia;http://www.wikidata.org/entity/Q1030;Country
Saudi Arabia;http://www.wikidata.org/entity/Q851;Country
Vanuatu;http://www.wikidata.org/entity/Q686;Country
Tajikistan;http://www.wikidata.org/entity/Q863;Country
Lebanon;http://www.wikidata.org/entity/Q822;Country
Croatia;http://www.wikidata.org/entity/Q224;Country
Malawi;http://www.wikidata.org/entity/Q1020;Country
Uruguay;http://www.wikidata.org/entity/Q77;Country
Suriname;http://www.wikidata.org/entity/Q730;Country
Dominican Republic;http://www.wikidata.org/entity/Q786;Country
Pakistan;http://www.wikidata.org/entity/Q843;Country
Somalia;http://www.wikidata.org/entity/Q1045;Country
Jamaica;http://www.wikidata.org/entity/Q766;Country
Mali;http://www.wikidata.org/entity/Q912;Country
Turkey;http://www.wikidata.org/entity/Q43;Country
Bulgaria;http://www.wikidata.org/entity/Q219;Country
Bahrain;http://www.wikidata.org/entity/Q398;Country
Benin;http://www.wikidata.org/entity/Q962;Country
Poland;http://www.wikidata.org/entity/Q36;Country
Saint Kitts and Nevis;http://www.wikidata.org/entity/Q763;Country
Austria;http://www.wikidata.org/entity/Q40;Country
Haiti;http://www.wikidata.org/entity/Q790;Country
Spain;http://www.wikidata.org/entity/Q29;Country
Afghanistan;http://www.wikidata.org/entity/Q889;Country
Lesotho;http://www.wikidata.org/entity/Q1013;Country
Turkmenistan;http://www.wikidata.org/entity/Q874;Country
Cyprus;http://www.wikidata.org/entity/Q229;Country
India;http://www.wikidata.org/entity/Q668;Country
San Marino;http://www.wikidata.org/entity/Q238;Country
Maldives;http://www.wikidata.org/entity/Q826;Country
Saint Vincent and the Grenadines;http://www.wikidata.org/entity/Q757;Country
Morocco;http://www.wikidata.org/entity/Q1028;Country
Mozambique;http://www.wikidata.org/entity/Q1029;Country
Kuwait;http://www.wikidata.org/entity/Q817;Country
Peru;http://www.wikidata.org/entity/Q419;Country
Belarus;http://www.wikidata.org/entity/Q184;Country
Malta;http://www.wikidata.org/entity/Q233;Country
Myanmar;http://www.wikidata.org/entity/Q836;Country
Monaco;http://www.wikidata.org/entity/Q235;Country
Central African Republic;http://www.wikidata.org/entity/Q929;Country
Federated States of Micronesia;http://www.wikidata.org/entity/Q702;Country
Sri Lanka;http://www.wikidata.org/entity/Q854;Country
Zimbabwe;http://www.wikidata.org/entity/Q954;Country
Burkina Faso;http://www.wikidata.org/entity/Q965;Country
Colombia;http://www.wikidata.org/entity/Q739;Country
Paraguay;http://www.wikidata.org/entity/Q733;Country
Estonia;http://www.wikidata.org/entity/Q191;Country
Netherlands;http://www.wikidata.org/entity/Q29999;Country
Netherlands;http://www.wikidata.org/entity/Q55;Country
Chile;http://www.wikidata.org/entity/Q298;Country
Liechtenstein;http://www.wikidata.org/entity/Q347;Country
Chad;http://www.wikidata.org/entity/Q657;Country
Norway;http://www.wikidata.org/entity/Q20;Country
Ukraine;http://www.wikidata.org/entity/Q212;Country
Papua New Guinea;http://www.wikidata.org/entity/Q691;Country
Denmark;http://www.wikidata.org/entity/Q35;Country
Solomon Islands;http://www.wikidata.org/entity/Q685;Country
Ethiopia;http://www.wikidata.org/entity/Q115;Country
Ghana;http://www.wikidata.org/entity/Q117;Country
Malaysia;http://www.wikidata.org/entity/Q833;Country
Germany;http://www.wikidata.org/entity/Q183;Country
Romania;http://www.wikidata.org/entity/Q218;Country
Japan;http://www.wikidata.org/entity/Q17;Country
Uganda;http://www.wikidata.org/entity/Q1036;Country
Serbia;http://www.wikidata.org/entity/Q403;Country
Botswana;http://www.wikidata.org/entity/Q963;Country
Nigeria;http://www.wikidata.org/entity/Q1033;Country
Saint Lucia;http://www.wikidata.org/entity/Q760;Country
Liberia;http://www.wikidata.org/entity/Q1014;Country
Sudan;http://www.wikidata.org/entity/Q1049;Country
Philippines;http://www.wikidata.org/entity/Q928;Country
Honduras;http://www.wikidata.org/entity/Q783;Country
Albania;http://www.wikidata.org/entity/Q222;Country
Grenada;http://www.wikidata.org/entity/Q769;Country
Italy;http://www.wikidata.org/entity/Q38;Country
United States Of America;http://www.wikidata.org/entity/Q30;Country
Iceland;http://www.wikidata.org/entity/Q189;Country
South Sudan;http://www.wikidata.org/entity/Q958;Country
Antigua and Barbuda;http://www.wikidata.org/entity/Q781;Country
Gabon;http://www.wikidata.org/entity/Q1000;Country
Kazakhstan;http://www.wikidata.org/entity/Q232;Country
Togo;http://www.wikidata.org/entity/Q945;Country
Indonesia;http://www.wikidata.org/entity/Q252;Country
Gambia;http://www.wikidata.org/entity/Q1005;Country
Uzbekistan;http://www.wikidata.org/entity/Q265;Country
Comoros;http://www.wikidata.org/entity/Q970;Country
Canada;http://www.wikidata.org/entity/Q16;Country
Bangladesh;http://www.wikidata.org/entity/Q902;Country
Panama;http://www.wikidata.org/entity/Q804;Country
Guinea;http://www.wikidata.org/entity/Q1006;Country
Kyrgyzstan;http://www.wikidata.org/entity/Q813;Country
Greece;http://www.wikidata.org/entity/Q41;Country
South Africa;http://www.wikidata.org/entity/Q258;Country
Andorra;http://www.wikidata.org/entity/Q228;Country
Fiji;http://www.wikidata.org/entity/Q712;Country
Zambia;http://www.wikidata.org/entity/Q953;Country
United Arab Emirates;http://www.wikidata.org/entity/Q878;Country
Mauritania;http://www.wikidata.org/entity/Q1025;Country
Palau;http://www.wikidata.org/entity/Q695;Country
Nicaragua;http://www.wikidata.org/entity/Q811;Country
Burundi;http://www.wikidata.org/entity/Q967;Country
Egypt;http://www.wikidata.org/entity/Q79;Country
Luxembourg;http://www.wikidata.org/entity/Q32;Country
Democratic Republic of the Congo;http://www.wikidata.org/entity/Q974;Country
United Kingdom Of Great Britain And Northern Ireland;http://www.wikidata.org/entity/Q145);Country
Viet Nam;http://www.wikidata.org/entity/Q881);Country
Republic of Moldova;http://www.wikidata.org/entity/Q217);Country
Kosovo;http://www.wikidata.org/entity/Q1246);Country
Serbia and Montenegro;http://www.wikidata.org/entity/Q37024);Country
Democratic People's Republic of Korea;http://www.wikidata.org/entity/Q423);Country
Islamic Republic of Iran;http://www.wikidata.org/entity/Q794);Country
Russian Federation;http://www.wikidata.org/entity/Q159);Country
Cote D'Ivoire;http://www.wikidata.org/entity/Q1008);Country
United Republic of Tanzania;http://www.wikidata.org/entity/Q924);Country
Syrian Arab Republic;http://www.wikidata.org/entity/Q858);Country
Yugoslavia;http://www.wikidata.org/entity/Q36704);Country
Timor-Leste;http://www.wikidata.org/entity/Q574);Country
Palestine;http://www.wikidata.org/entity/Q219060);Country
Republic of Korea;http://www.wikidata.org/entity/Q884);Country
Bolivia (Plurinational State Of);http://www.wikidata.org/entity/Q750);Country
Venezuela (Bolivarian Republic Of);http://www.wikidata.org/entity/Q717);Country
